source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,minDiscoverableChange,RelativePower,subject,age,gender,handed
1,1,hbo,0,open_phys_01,-15.9420527398255,8.72498995100096,-1.82717147290199,25917.770308397,0.0676854850832383,0.365867486936423,21.6951022069303,0.188640591514222,672,,,
1,1,hbr,0,open_phys_01,-1.76434424909565,1.79326771705736,-0.983871081999306,25917.770308397,0.325188088065222,0.791934461041636,4.45904541144883,0.917814584881539,672,,,
1,2,hbo,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
1,2,hbr,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
2,1,hbo,0,open_phys_01,-12.518249376833,10.2053608128577,-1.22663466842459,25917.770308397,0.219971076065732,0.680761550686984,25.3761147161147,0.161276734404022,672,,,
2,1,hbr,0,open_phys_01,0.0993768874298567,4.02801500735399,0.0246714292892215,25917.770308397,0.98031723420179,1,10.0158507650279,0.40861001319696,672,,,
2,3,hbo,0,open_phys_01,-5.17630152218929,11.6604043489842,-0.443921271275661,25917.770308397,0.657103211074988,1,28.9941496260777,0.141151817385806,672,,,
2,3,hbr,0,open_phys_01,-3.98716642358218,4.70551904470063,-0.847338282069549,25917.770308397,0.39681441882627,0.879367133133008,11.7004967552685,0.349778047793913,672,,,
3,1,hbo,0,open_phys_01,-10.0647625655759,11.7247369362427,-0.858421184228391,25917.770308397,0.390667872613088,0.870569075460921,29.1541156619871,0.140377329936061,672,,,
3,1,hbr,0,open_phys_01,5.84468684662496,8.54051354296545,0.68434840799931,25917.770308397,0.493761305059813,0.963750404390488,21.2363928502922,0.192715257347508,672,,,
3,3,hbo,0,open_phys_01,1.00806180568249,7.33421000250954,0.137446542345742,25917.770308397,0.890678912310567,1,18.2368617620334,0.224412344990025,672,,,
3,3,hbr,0,open_phys_01,-0.427692813218432,1.73926237530813,-0.245904711842376,25917.770308397,0.805757943507075,1,4.32475856234646,0.946313384730626,672,,,
3,4,hbo,0,open_phys_01,-7.10070536153572,7.96809549484916,-0.891142101161545,25917.770308397,0.372861213576214,0.848617271297216,19.8130481669496,0.206559681215721,672,,,
3,4,hbr,0,open_phys_01,-0.386235225070459,2.44240054150752,-0.15813754480748,25917.770308397,0.874349648342283,1,6.07314503235487,0.673880977890946,672,,,
4,2,hbo,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,2,hbr,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,4,hbo,0,open_phys_01,-8.57918551601595,8.12400744667962,-1.05602876072232,25917.770308397,0.29096491854335,0.750283631169715,20.2007306455817,0.202595489493939,672,,,
4,4,hbr,0,open_phys_01,-1.59406210421569,2.42462827121206,-0.657445977654474,25917.770308397,0.510900034790258,0.975855229192602,6.02895343755939,0.678820454605065,672,,,
4,5,hbo,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
4,5,hbr,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
5,3,hbo,0,open_phys_01,-9.42188898086416,8.66033506313912,-1.08793584915282,25917.770308397,0.276633545391098,0.738920989358525,21.5343347552521,0.190048913040078,672,,,
5,3,hbr,0,open_phys_01,-3.51034145930483,2.12337764131894,-1.65318753998199,25917.770308397,0.0983048129543493,0.462592573225761,5.27987942806055,0.775126964363305,672,,,
5,4,hbo,0,open_phys_01,-13.9365758128976,7.01753525581955,-1.98596448822116,25917.770308397,0.0470477844741869,0.289012392340381,17.4494349530197,0.234539222862835,672,,,
5,4,hbr,0,open_phys_01,-6.70728161455932,1.71353468635069,-3.91429579336022,25917.770308397,9.0900184437906e-05,0.00264436900182999,4.26078544093148,0.960521708969727,672,,,
5,6,hbo,0,open_phys_01,-5.97967230025529,7.98160911189001,-0.74918130121751,25917.770308397,0.453754737143593,0.926438252079367,19.8466504180161,0.206209956192997,672,,,
5,6,hbr,0,open_phys_01,-3.79227554040448,2.39613983230801,-1.58266036450456,25917.770308397,0.113511098518213,0.494781308987448,5.95811558018532,0.686891158487655,672,,,
6,4,hbo,0,open_phys_01,-2.44448344436411,6.40635533793438,-0.381571629330241,25917.770308397,0.702782259325825,1,15.9297070381674,0.256914763308017,672,,,
6,4,hbr,0,open_phys_01,-0.949495612630809,1.70167001027275,-0.557978695574838,25917.770308397,0.576863751630742,1,4.23128335994244,0.967218823494844,672,,,
6,6,hbo,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
6,6,hbr,0,open_phys_01,NaN,NaN,NaN,25917.770308397,NaN,NaN,NaN,NaN,672,,,
6,7,hbo,0,open_phys_01,-6.42400176581854,13.3552223976132,-0.481010467258607,25917.770308397,0.630513119939908,1,33.2083952577232,0.123239225548697,672,,,
